Year,Trade Flow,Reporter,Reporter ISO,Partner,Partner ISO,export_ij,gdp_i,gdp_growth_i,gdp_j,gdp_growth_j,ec_index_i,ec_index_j,population_i,population_j,distance,contig,comlang_off,colony,dummy_2019,dummy_2020,ln_export_ij,ln_gdp_i,gdp_decline_i,ln_gdp_j,gdp_decline_j,ln_ec_index_i,ln_ec_index_j,ln_population_i,ln_population_j,ln_distance,ln_gdp_i*ec_index_i,ln_gdp_j*ec_index_j
2019,Export,Argentina,ARG,Ireland,IRL,311490748,4.45E+11,-2.088014861,3.99E+11,4.917006978,50,93.3,44938712,4934340,11012.97,0,0,0,1,0,19.55688019,26.82233962,2.088014861,26.71253297,-4.917006978,3.912023005,4.535820108,17.62081016,15.41172948,9.306828948,1341.116981,2492.279326
2019,Export,Argentina,ARG,Israel,ISR,233503660,4.45E+11,-2.088014861,3.95E+11,3.450279281,50,86.3,44938712,9054000,12241.62,0,0,0,1,0,19.26870831,26.82233962,2.088014861,26.7012702,-3.450279281,3.912023005,4.457829598,17.62081016,16.01871721,9.4125969,1341.116981,2304.319618
2019,Export,Argentina,ARG,Italy,ITA,1002773678,4.45E+11,-2.088014861,2.00E+12,0.287449937,50,81.6,44938712,59729081,11173.56,0,0,0,1,0,20.72603568,26.82233962,2.088014861,28.32662029,-0.287449937,3.912023005,4.401829262,17.62081016,17.90532958,9.321305552,1341.116981,2311.452215
2019,Export,Argentina,ARG,Côte d'Ivoire,CIV,57989910,4.45E+11,-2.088014861,58539424930,6.231709513,50,31.3,44938712,25716554,7231.426,0,0,0,1,0,17.87577959,26.82233962,2.088014861,24.79296629,-6.231709513,3.912023005,3.443618098,17.62081016,17.06264547,8.886191529,1341.116981,776.019845
2019,Export,Argentina,ARG,Jamaica,JAM,4019084,4.45E+11,-2.088014861,15830768550,0.892291654,50,58.2,44938712,2948277,6169.833,0,0,0,1,0,15.20656457,26.82233962,2.088014861,23.48522126,-0.892291654,3.912023005,4.063885355,17.62081016,14.89673149,8.72742705,1341.116981,1366.839877
2019,Export,Argentina,ARG,Japan,JPN,452885232,4.45E+11,-2.088014861,5.15E+12,0.270304645,50,87.6,44938712,126264931,18372.04,0,0,0,1,0,19.9311493,26.82233962,2.088014861,29.26978091,-0.270304645,3.912023005,4.472780998,17.62081016,18.65389288,9.818585223,1341.116981,2564.032808
2019,Export,Argentina,ARG,Kazakhstan,KAZ,20840962,4.45E+11,-2.088014861,1.82E+11,4.5,50,68.5,44938712,18513673,16110.66,0,0,0,1,0,16.85243094,26.82233962,2.088014861,25.92544118,-4.5,3.912023005,4.226833745,17.62081016,16.7340201,9.687236444,1341.116981,1775.892721
2019,Export,Argentina,ARG,Jordan,JOR,170098733,4.45E+11,-2.088014861,44502895915,1.955466358,50,49.2,44938712,10101697,12330.83,0,0,0,1,0,18.95188961,26.82233962,2.088014861,24.5188201,-1.955466358,3.912023005,3.895893623,17.62081016,16.12821399,9.419857909,1341.116981,1206.325949
2019,Export,Argentina,ARG,Kenya,KEN,139909662,4.45E+11,-2.088014861,95503088538,5.365748965,50,49,44938712,52573967,10423.36,0,0,0,1,0,18.7565075,26.82233962,2.088014861,25.28242442,-5.365748965,3.912023005,3.891820298,17.62081016,17.77773163,9.25180472,1341.116981,1238.838797
2019,Export,Argentina,ARG,Rep. of Korea,KOR,842700139,4.45E+11,-2.088014861,1.65E+12,2.039348227,50,89.4,44938712,51709098,19447.35,0,0,0,1,0,20.55212175,26.82233962,2.088014861,28.12981869,-2.039348227,3.912023005,4.493120682,17.62081016,17.7611443,9.875466093,1341.116981,2514.805791
2019,Export,Argentina,ARG,Kuwait,KWT,52909187,4.45E+11,-2.088014861,1.36E+11,0.427464008,50,69.3,44938712,4207077,13226.28,0,0,0,1,0,17.78408755,26.82233962,2.088014861,25.6373682,-0.427464008,3.912023005,4.238444906,17.62081016,15.25227867,9.489961038,1341.116981,1776.669617
2019,Export,Argentina,ARG,Lao People's Dem. Rep.,LAO,151334,4.45E+11,-2.088014861,18245925331,5.457735092,50,35.1,44938712,7169456,17399.46,0,0,0,1,0,11.92724459,26.82233962,2.088014861,23.62720762,-5.457735092,3.912023005,3.55820113,17.62081016,15.78534034,9.76419445,1341.116981,829.3149876
2019,Export,Argentina,ARG,Lebanon,LBN,95881776,4.45E+11,-2.088014861,51991634492,-6.7,50,59.4,44938712,6855709,12396.9,0,0,0,1,0,18.37862649,26.82233962,2.088014861,24.67434867,6.7,3.912023005,4.084294226,17.62081016,15.74059229,9.42520172,1341.116981,1465.656311
2019,Export,Argentina,ARG,Latvia,LVA,47496510,4.45E+11,-2.088014861,34055464655,2.02711322,50,81.6,44938712,1913822,12773.93,0,0,0,1,0,17.67616679,26.82233962,2.088014861,24.25125635,-2.02711322,3.912023005,4.401829262,17.62081016,14.46461285,9.455161654,1341.116981,1978.902518
2019,Export,Argentina,ARG,Liberia,LBR,807816,4.45E+11,-2.088014861,3070518100,-2.278245125,50,16.7,44938712,4937374,6772.831,0,0,0,1,0,13.60208959,26.82233962,2.088014861,21.84511215,2.278245125,3.912023005,2.815408719,17.62081016,15.41234417,8.820674447,1341.116981,364.8133728
2019,Export,Argentina,ARG,Libya,LBY,61974937,4.45E+11,-2.088014861,52091152228,2.535953478,50,37.4,44938712,6777453,10587.62,0,0,0,1,0,17.94224062,26.82233962,2.088014861,24.67626095,-2.535953478,3.912023005,3.621670704,17.62081016,15.72911193,9.267440673,1341.116981,922.8921595
2019,Export,Argentina,ARG,Lithuania,LTU,29025711,4.45E+11,-2.088014861,54639938780,4.338861033,50,83.5,44938712,2794137,12731.28,0,0,0,1,0,17.18369258,26.82233962,2.088014861,24.72403093,-4.338861033,3.912023005,4.424846632,17.62081016,14.84303385,9.451817236,1341.116981,2064.456583
2019,Export,Argentina,ARG,Luxembourg,LUX,401127898,4.45E+11,-2.088014861,71104919108,2.296978816,50,83.7,44938712,620001,11333.12,0,0,0,1,0,19.80979088,26.82233962,2.088014861,24.98742236,-2.296978816,3.912023005,4.427238977,17.62081016,13.33747637,9.335484691,1341.116981,2091.447251
2019,Export,Argentina,ARG,Madagascar,MDG,29875048,4.45E+11,-2.088014861,14191911512,4.4,50,22,44938712,26969306,10212.05,0,0,0,1,0,17.21253417,26.82233962,2.088014861,23.37593803,-4.4,3.912023005,3.091042453,17.62081016,17.11020996,9.231323675,1341.116981,514.2706366
2019,Export,Argentina,ARG,Malawi,MWI,1287240,4.45E+11,-2.088014861,10862613622,5.721106077,50,19.7,44938712,18628749,9345.976,0,0,0,1,0,14.06801095,26.82233962,2.088014861,23.10859279,-5.721106077,3.912023005,2.980618636,17.62081016,16.74021659,9.142701155,1341.116981,455.2392779
2019,Export,Argentina,ARG,Malaysia,MYS,884182869,4.45E+11,-2.088014861,3.65E+11,4.302815982,50,81.9,44938712,31949789,15970.66,0,0,0,1,0,20.60017446,26.82233962,2.088014861,26.62228884,-4.302815982,3.912023005,4.405498991,17.62081016,17.27967613,9.678508568,1341.116981,2180.365456
